>>>>> Detector image results analysis <<<<<

imgs/imgsDB/carsgraz_128.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.858711
imgs/imgsDB/carsgraz_239.image.png -> Precision: 0.995833 | Recall: 0.0798997 | Accuracy: 0.928301
imgs/imgsDB/carsgraz_164.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.889085
imgs/imgsDB/carsgraz_218.image.png -> Precision: 0.556953 | Recall: 0.852331 | Accuracy: 0.853242
imgs/imgsDB/carsgraz_349.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.820072
imgs/imgsDB/carsgraz_225.image.png -> Precision: 0.386042 | Recall: 0.183139 | Accuracy: 0.963503
imgs/imgsDB/carsgraz_238.image.png -> Precision: 0.531944 | Recall: 0.525287 | Accuracy: 0.857682
imgs/imgsDB/carsgraz_318.image.png -> Precision: 0.414229 | Recall: 0.845332 | Accuracy: 0.916064
imgs/imgsDB/carsgraz_113.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.95998
imgs/imgsDB/carsgraz_240.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.881152
imgs/imgsDB/carsgraz_083.image.png -> Precision: 0.124446 | Recall: 1 | Accuracy: 0.814902
imgs/imgsDB/carsgraz_027.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.83527
imgs/imgsDB/carsgraz_176.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.973249
imgs/imgsDB/carsgraz_215.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.961224
imgs/imgsDB/carsgraz_255.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.123714
imgs/imgsDB/carsgraz_257.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.926208
imgs/imgsDB/carsgraz_381.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.942718
imgs/imgsDB/carsgraz_371.image.png -> Precision: 1 | Recall: 0.0929292 | Accuracy: 0.792581
imgs/imgsDB/carsgraz_055.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.930244
imgs/imgsDB/carsgraz_348.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.884473
imgs/imgsDB/carsgraz_066.image.png -> Precision: 0.591463 | Recall: 0.130486 | Accuracy: 0.888535
imgs/imgsDB/carsgraz_345.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.938558
imgs/imgsDB/carsgraz_117.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.976504
